No,Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Price_per_sqm,District_encoded,Month,Frontage_1,Frontage_0
1,13.5,44.0,4.0,3.0,quan-1,5.0,0.0,0.31,0,11,1,0
2,8.7,45.0,3.0,3.0,quan-1,4.0,1.0,0.19,0,11,0,1
3,21.5,64.0,4.0,4.0,quan-1,4.0,1.0,0.34,0,11,1,0
4,9.3,40.0,4.0,4.0,quan-1,4.0,1.0,0.23,0,11,0,1
5,130.0,455.0,27.0,27.0,quan-1,13.0,0.0,0.29,0,10,1,0
6,60.0,114.4,6.0,5.0,quan-1,8.0,0.0,0.52,0,10,1,0
7,42.0,145.0,4.0,4.0,quan-1,8.0,0.0,0.29,0,10,1,0
8,115.0,324.0,4.0,4.0,quan-1,4.0,0.0,0.35,0,10,1,0
9,65.0,171.0,18.0,18.0,quan-1,6.0,0.0,0.38,0,10,0,0
10,65.0,288.0,12.0,12.0,quan-1,9.0,0.0,0.23,0,10,1,0
11,80.0,140.0,10.0,6.0,quan-1,8.0,0.0,0.57,0,10,1,0
12,54.0,75.0,4.0,4.0,quan-1,5.0,1.0,0.72,0,10,1,0
13,43.0,92.0,3.0,3.0,quan-1,3.0,1.0,0.47,0,10,1,0
14,20.0,121.0,4.0,5.0,quan-1,5.0,0.0,0.17,0,10,1,0
15,70.0,216.0,6.0,7.0,quan-1,7.0,0.0,0.32,0,10,1,0
16,105.0,360.0,7.0,6.0,quan-1,8.0,0.0,0.29,0,10,1,0
17,44.0,160.0,4.0,3.0,quan-1,7.0,1.0,0.28,0,10,1,0
18,49.0,150.0,8.0,9.0,quan-1,6.0,0.0,0.33,0,10,1,0
19,45.0,80.0,5.0,5.0,quan-1,7.0,0.0,0.56,0,10,1,0
20,22.0,60.0,5.0,6.0,quan-1,6.0,0.0,0.37,0,10,0,0
21,19.0,44.0,4.0,3.0,quan-1,5.0,0.0,0.43,0,10,1,0
22,100.0,225.0,8.0,8.0,quan-1,3.0,0.0,0.44,0,10,0,0
23,77.0,154.0,5.0,4.0,quan-1,8.0,0.0,0.5,0,10,0,0
24,50.0,84.0,6.0,6.0,quan-1,4.0,0.0,0.6,0,10,0,0
25,45.0,160.0,4.0,4.0,quan-1,4.0,0.0,0.28,0,10,0,0
26,11.0,54.0,3.0,3.0,quan-1,3.0,0.0,0.2,0,10,0,1
27,18.0,88.0,3.0,2.0,quan-1,2.0,0.0,0.2,0,10,0,0
28,28.0,96.0,4.0,5.0,quan-1,5.0,0.0,0.29,0,10,0,0
29,75.0,147.0,5.0,4.0,quan-1,6.0,0.0,0.51,0,9,1,0
30,75.0,150.0,7.0,7.0,quan-1,3.0,0.0,0.5,0,8,0,0
31,69.5,182.0,9.0,9.0,quan-1,6.0,1.0,0.38,0,8,1,0
32,30.0,80.0,5.0,6.0,quan-1,4.0,1.0,0.38,0,8,1,0
33,29.0,68.0,3.0,3.0,quan-1,2.0,1.0,0.43,0,8,0,0
34,55.0,140.0,6.0,5.0,quan-1,4.0,0.0,0.39,0,8,1,0
35,75.0,200.0,4.0,4.0,quan-1,3.0,0.0,0.38,0,8,0,0
36,68.0,160.0,4.0,4.0,quan-1,9.0,0.0,0.42,0,8,1,0
37,42.0,162.0,4.0,3.0,quan-1,5.0,0.0,0.26,0,8,0,0
38,90.0,247.0,11.0,11.0,quan-1,5.0,1.0,0.36,0,8,0,0
39,4.8,28.0,3.0,3.0,quan-1,3.0,1.0,0.17,0,8,1,0
40,13.0,93.0,5.0,6.0,quan-1,4.0,0.0,0.14,0,8,0,1
41,5.8,25.0,4.0,3.0,quan-1,4.0,0.0,0.23,0,8,0,1
42,24.0,138.0,4.0,3.0,quan-1,2.0,1.0,0.17,0,7,1,0
43,32.0,128.0,4.0,4.0,quan-1,4.0,0.0,0.25,0,7,0,0
44,31.0,80.0,5.0,6.0,quan-1,4.0,1.0,0.39,0,7,1,0
45,52.0,197.0,7.0,6.0,quan-1,8.0,1.0,0.26,0,7,1,0
46,19.0,120.0,5.0,5.0,quan-1,4.0,1.0,0.16,0,7,0,0
47,32.0,195.0,7.0,7.0,quan-1,6.0,0.0,0.16,0,7,1,0
48,85.0,850.0,35.0,36.0,quan-1,6.0,0.0,0.1,0,7,1,0
49,85.0,860.0,35.0,36.0,quan-1,6.0,0.0,0.1,0,7,1,0
50,85.0,143.0,6.0,6.0,quan-1,6.0,0.0,0.59,0,7,0,0
51,50.0,80.0,1.0,2.0,quan-1,5.0,0.0,0.62,0,7,0,0
52,60.0,150.0,8.0,8.0,quan-1,4.0,0.0,0.4,0,7,1,0
53,50.0,140.0,6.0,5.0,quan-1,4.0,0.0,0.36,0,7,1,0
54,26.5,53.0,6.0,6.0,quan-1,5.0,0.0,0.5,0,7,1,0
55,66.0,140.0,4.0,3.0,quan-1,3.0,0.0,0.47,0,7,1,0
56,62.0,140.0,4.0,3.0,quan-1,3.0,0.0,0.44,0,7,1,0
57,55.0,140.0,4.0,3.0,quan-1,3.0,0.0,0.39,0,7,1,0
58,23.0,80.0,2.0,3.0,quan-1,2.0,0.0,0.29,0,7,0,0
59,115.0,430.0,1.0,1.0,quan-1,5.0,1.0,0.27,0,7,1,0
